Country,Region,Subregion,
Afghanistan,Asia,Southern Asia,
Albania,Europe,Southern Europe,
Algeria,Africa,Northern Africa,
Andorra,Europe,Southern Europe,
Angola,Africa,Middle Africa,
Antigua and Barbuda,Americas,Caribbean,
Argentina,Americas,South America,
Armenia,Asia,Western Asia,
Australia,Oceania,Australia and New Zealand,
Austria,Europe,Western Europe,
Azerbaijan,Asia,Western Asia,
Bahamas,Americas,Caribbean,
Bahrain,Asia,Western Asia,
Bangladesh,Asia,Southern Asia,
Barbados,Americas,Caribbean,
Belarus,Europe,Eastern Europe,
Belgium,Europe,Western Europe,
Belize,Americas,Central America,
Benin,Africa,Western Africa,
Bhutan,Asia,Southern Asia,
Bosnia and Herzegovina,Europe,Southern Europe,
Botswana,Africa,Southern Africa,
Brazil,Americas,South America,
Bulgaria,Europe,Eastern Europe,
Burkina Faso,Africa,Western Africa,
Burundi,Africa,Eastern Africa,
Cambodia,Asia,South-Eastern Asia,
Cameroon,Africa,Middle Africa,
Canada,Americas,Northern America,
Central African Republic,Africa,Middle Africa,
Chad,Africa,Middle Africa,
Chile,Americas,South America,
China,Asia,Eastern Asia,
Colombia,Americas,South America,
Comoros,Africa,Eastern Africa,
Congo,Africa,Middle Africa,
Cook Islands,Oceania,Polynesia,
Costa Rica,Americas,Central America,
Cote d'Ivoire,Africa,Western Africa,
Croatia,Europe,Southern Europe,
Cuba,Americas,Caribbean,
Cyprus,Asia,Western Asia,
Czechia,Europe,Eastern Europe,
Denmark,Europe,Northern Europe,
Djibouti,Africa,Eastern Africa,
Dominica,Americas,Caribbean,
Dominican Republic,Americas,Caribbean,
Ecuador,Americas,South America,
Egypt,Africa,Northern Africa,
El Salvador,Americas,Central America,
Equatorial Guinea,Africa,Middle Africa,
Eritrea,Africa,Eastern Africa,
Estonia,Europe,Northern Europe,
Eswatini,Africa,Southern Africa,
Ethiopia,Africa,Eastern Africa,
Fiji,Oceania,Melanesia,
Finland,Europe,Northern Europe,
France,Europe,Western Europe,
Gabon,Africa,Middle Africa,
Gambia,Africa,Western Africa,
Georgia,Asia,Western Asia,
Germany,Europe,Western Europe,
Ghana,Africa,Western Africa,
Greece,Europe,Southern Europe,
Grenada,Americas,Caribbean,
Guatemala,Americas,Central America,
Guinea,Africa,Western Africa,
Guinea-Bissau,Africa,Western Africa,
Guyana,Americas,South America,
Haiti,Americas,Caribbean,
Honduras,Americas,Central America,
Hungary,Europe,Eastern Europe,
Iceland,Europe,Northern Europe,
India,Asia,Southern Asia,
Indonesia,Asia,South-Eastern Asia,
Iraq,Asia,Western Asia,
Ireland,Europe,Northern Europe,
Israel,Asia,Western Asia,
Italy,Europe,Southern Europe,
Jamaica,Americas,Caribbean,
Japan,Asia,Eastern Asia,
Jordan,Asia,Western Asia,
Kazakhstan,Asia,Central Asia,
Kenya,Africa,Eastern Africa,
Kiribati,Oceania,Micronesia,
Kuwait,Asia,Western Asia,
Kyrgyzstan,Asia,Central Asia,
Latvia,Europe,Northern Europe,
Lebanon,Asia,Western Asia,
Lesotho,Africa,Southern Africa,
Liberia,Africa,Western Africa,
Libya,Africa,Northern Africa,
Lithuania,Europe,Northern Europe,
Luxembourg,Europe,Western Europe,
Madagascar,Africa,Eastern Africa,
Malawi,Africa,Eastern Africa,
Malaysia,Asia,South-Eastern Asia,
Maldives,Asia,Southern Asia,
Mali,Africa,Western Africa,
Malta,Europe,Southern Europe,
Marshall Islands,Oceania,Micronesia,
Mauritania,Africa,Western Africa,
Mauritius,Africa,Eastern Africa,
Mexico,Americas,Central America,
Monaco,Europe,Western Europe,
Mongolia,Asia,Eastern Asia,
Montenegro,Europe,Southern Europe,
Morocco,Africa,Northern Africa,
Mozambique,Africa,Eastern Africa,
Myanmar,Asia,South-Eastern Asia,
Namibia,Africa,Southern Africa,
Nauru,Oceania,Micronesia,
Nepal,Asia,Southern Asia,
Netherlands,Europe,Western Europe,
New Zealand,Oceania,Australia and New Zealand,
Nicaragua,Americas,Central America,
Niger,Africa,Western Africa,
Nigeria,Africa,Western Africa,
North Macedonia,Europe,Southern Europe,
Norway,Europe,Northern Europe,
Oman,Asia,Western Asia,
Pakistan,Asia,Southern Asia,
Palau,Oceania,Micronesia,
Panama,Americas,Central America,
Papua New Guinea,Oceania,Melanesia,
Paraguay,Americas,South America,
Peru,Americas,South America,
Philippines,Asia,South-Eastern Asia,
Poland,Europe,Eastern Europe,
Portugal,Europe,Southern Europe,
Qatar,Asia,Western Asia,
Romania,Europe,Eastern Europe,
Russia,Europe,Northern Asia, Northern Europe
Rwanda,Africa,Eastern Africa,
Saint Kitts and Nevis,Americas,Caribbean,
Saint Lucia,Americas,Caribbean,
Samoa,Oceania,Polynesia,
San Marino,Europe,Southern Europe,
Sao Tome and Principe,Africa,Middle Africa,
Saudi Arabia,Asia,Western Asia,
Senegal,Africa,Western Africa,
Serbia,Europe,Southern Europe,
Seychelles,Africa,Eastern Africa,
Sierra Leone,Africa,Western Africa,
Singapore,Asia,South-Eastern Asia,
Slovakia,Europe,Eastern Europe,
Slovenia,Europe,Southern Europe,
Solomon Islands,Oceania,Melanesia,
South Africa,Africa,Southern Africa,
South Sudan,Africa,Eastern Africa,
Spain,Europe,Southern Europe,
Sri Lanka,Asia,Southern Asia,
Sudan,Africa,Northern Africa,
Suriname,Americas,South America,
Sweden,Europe,Northern Europe,
Switzerland,Europe,Western Europe,
Tajikistan,Asia,Central Asia,
Thailand,Asia,South-Eastern Asia,
Togo,Africa,Western Africa,
Tonga,Oceania,Polynesia,
Trinidad and Tobago,Americas,Caribbean,
Tunisia,Africa,Northern Africa,
Turkmenistan,Asia,Central Asia,
Tuvalu,Oceania,Polynesia,
Uganda,Africa,Eastern Africa,
Ukraine,Europe,Eastern Europe,
United Arab Emirates,Asia,Western Asia,
United States,Americas,Northern America,
Uruguay,Americas,South America,
Uzbekistan,Asia,Central Asia,
Vanuatu,Oceania,Melanesia,
Yemen,Asia,Western Asia,
Zambia,Africa,Eastern Africa,
Zimbabwe,Africa,Eastern Africa,
American Samoa,Oceania,Polynesia,
Anguilla,Americas,Caribbean,
Aruba,Americas, Caribbean,
Bermuda,Americas,Northern America,
Bonaire,Americas,Caribbean,
British Virgin Islands,Americas,Caribbean,
Cayman Islands,Americas,Caribbean,
Christmas Island,Oceania, Australia and New Zealand,
Cocos (Keeling) Islands,Oceania, Australia and New Zealand,
Democratic Republic of the Congo,Africa,Middle Africa,
Falkland Islands,Americas,South America,
Faroe Islands,Europe,Northern Europe,
French Guiana,Americas,South America,
French Polynesia,Oceania,Polynesia,
Gibraltar,Europe,Southern Europe,
Greenland,Americas,Northern America,
Guadeloupe,Americas,Caribbean,
Guam,Oceania,Micronesia,
Guernsey,Europe,Northern Europe,
Hong Kong,Asia,Eastern Asia,
Iran,Asia,Southern Asia,
Isle of Man,Europe,Northern Europe,
Jersey,Europe,Northern Europe,
Kosovo,Europe,Southern Europe,
Laos,Asia,South-Eastern Asia,
Liechtenstein,Europe,Western Europe,
Macao,Asia,Eastern Asia,
Martinique,Americas,Caribbean,
Mayotte,Africa,Eastern Africa,
Micronesia,Oceania,Micronesia,
Moldova,Europe,Eastern Europe,
New Caledonia,Oceania,Melanesia,
Niue,Oceania,Polynesia,
Norfolk Island,Oceania, Australia and New Zealand,
North Korea,Asia,Eastern Asia,
Northern Mariana Islands,Oceania,Micronesia,
Palestine,Asia,Western Asia,
Pitcairn Islands,Oceania,Polynesia,
Puerto Rico,Americas,Caribbean,
Réunion,Africa,Eastern Africa,
Saint Barthélemy,Americas,Caribbean,
Saint Helena, Ascension, and Tristan da Cunha,
Saint Pierre and Miquelon,Americas,Northern America,
Saint Vincent and the Grenadines,Americas,Caribbean,
Sint Maarten,Americas,Caribbean,
South Korea,Asia,Eastern Asia,
Svalbard and Jan Mayen,Europe,Northern Europe,
Syria,Asia,Western Asia,
Taiwan,Asia,Eastern Asia,
Timor-Leste,Asia,South-Eastern Asia,
Turkey,Asia, Western Asia,
Turks and Caicos Islands,Americas,Caribbean,
United Kingdom,Europe,Northern Europe,
United States Minor Outlying Islands,Oceania,Micronesia,
Venezuela,Americas,South America,
Vietnam,Asia,South-Eastern Asia,
Wallis and Futuna,Oceania,Polynesia,
Western Sahara,Africa, Northern Africa,
Tanzania,Africa,Eastern Africa,
Bolivia,Americas,South America,
Somalia,Africa,Eastern Africa,
